sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.176,0.035,0.788,0.9649,0.18542857142857144,0.017285714285714286,0.7972857142857143,0.266
0.198,0.0,0.802,0.9194,0.2095,0.0,0.7905,0.344
0.287,0.0,0.713,0.9885,0.15925,0.0,0.84075,0.31889999999999996
0.366,0.027,0.607,0.9442,0.3873333333333333,0.022333333333333334,0.5906666666666667,0.6111666666666666
0.144,0.014,0.842,0.9366,0.13425,0.017375,0.848375,0.2933125
0.228,0.063,0.709,0.967,0.2671428571428572,0.037,0.695857142857143,0.3164285714285714
0.192,0.08,0.727,0.9385,0.125,0.050666666666666665,0.8243333333333333,0.18998888888888887
0.242,0.0,0.758,0.9363,0.29425,0.0,0.7057499999999999,0.5058750000000001
0.233,0.048,0.719,0.8176,0.19299999999999998,0.037333333333333336,0.77,0.38083333333333336
0.176,0.084,0.74,0.7089,0.1638,0.054400000000000004,0.782,0.17004000000000002
0.282,0.0,0.718,0.985,0.2382857142857143,0.0,0.7617142857142858,0.44538571428571433
0.173,0.094,0.732,0.7644,0.21175,0.10825,0.68,0.11547499999999998
0.089,0.057,0.854,0.1974,0.046,0.0295,0.9245,0.04935
0.119,0.026,0.856,0.9205,0.142,0.01842857142857143,0.8395714285714285,0.2815857142857143
0.129,0.0,0.871,0.4767,0.07675,0.0,0.92325,0.119175
0.027,0.081,0.892,-0.2732,0.048499999999999995,0.09416666666666668,0.8573333333333334,-0.07056666666666668
0.128,0.0,0.872,0.6486,0.1034,0.0,0.8966000000000001,0.15342
0.4,0.0,0.6,0.9562,0.3726,0.0,0.6274,0.48622000000000004
0.179,0.067,0.754,0.9252,0.20925000000000002,0.028124999999999997,0.7626249999999999,0.34197500000000003
0.054,0.058,0.889,-0.2124,0.04844444444444445,0.052222222222222225,0.8993333333333334,-0.02124444444444446
0.125,0.0,0.875,0.9707,0.1213846153846154,0.0,0.8786153846153847,0.22670769230769233
0.232,0.02,0.748,0.9741,0.2612857142857143,0.015428571428571429,0.7232857142857142,0.41469999999999996
0.142,0.023,0.835,0.9696,0.15014285714285713,0.019142857142857145,0.8307142857142857,0.3960428571428571
0.196,0.0,0.804,0.8591,0.15375,0.0,0.84625,0.31805
0.325,0.039,0.637,0.9546,0.3376666666666666,0.03233333333333333,0.63,0.5926
0.269,0.092,0.64,0.8519,0.34650000000000003,0.0465,0.607,0.3451
0.22,0.045,0.735,0.9568,0.22325,0.03875,0.7381249999999999,0.34482500000000005
0.24,0.057,0.703,0.9835,0.24675,0.052250000000000005,0.7010000000000001,0.596025
0.37,0.029,0.602,0.9752,0.3241428571428572,0.016714285714285716,0.6591428571428573,0.4554142857142857
0.278,0.019,0.703,0.979,0.216,0.017,0.767,0.407825
0.148,0.0,0.852,0.9409,0.12766666666666668,0.0,0.8723333333333332,0.2660166666666666
0.244,0.0,0.756,0.8655,0.18266666666666667,0.0,0.8173333333333334,0.28850000000000003
0.305,0.0,0.695,0.9675,0.23419999999999996,0.0,0.7657999999999999,0.48841999999999997
0.307,0.0,0.693,0.9505,0.2572,0.0,0.7428000000000001,0.36608
0.261,0.0,0.739,0.961,0.2435,0.0,0.7565000000000001,0.559225
0.461,0.044,0.495,0.9641,0.43333333333333335,0.052333333333333336,0.5143333333333334,0.4495166666666666
0.176,0.022,0.802,0.9831,0.1659090909090909,0.01863636363636364,0.8155454545454546,0.3595
0.16,0.023,0.817,0.9529,0.15066666666666664,0.015222222222222224,0.834111111111111,0.2658444444444445
0.21,0.0,0.79,0.9376,0.2186,0.0,0.7814,0.42284000000000005
0.0,0.179,0.821,-0.7096,0.0,0.23625000000000002,0.76375,-0.22310000000000002
0.06,0.064,0.876,-0.1316,0.0445,0.0445,0.911,0.0020125000000000004
0.285,0.038,0.677,0.9538,0.25383333333333336,0.030833333333333334,0.7153333333333333,0.3512166666666667
0.109,0.036,0.855,0.902,0.103875,0.033875,0.8623749999999999,0.165625
0.241,0.189,0.571,0.8727,0.19533333333333333,0.1635,0.641,0.07566666666666666
0.196,0.0,0.804,0.9039,0.215,0.0,0.785,0.5486666666666666
0.098,0.157,0.745,-0.5478,0.08177777777777778,0.1368888888888889,0.7813333333333332,-0.10415555555555556
0.033,0.143,0.824,-0.8197,0.0474,0.0814,0.8712,-0.13235999999999998
0.168,0.036,0.795,0.9628,0.2007142857142857,0.031285714285714285,0.7679999999999999,0.36981428571428576
0.092,0.071,0.837,0.4404,0.122,0.051,0.827,0.10110000000000001
0.089,0.035,0.876,0.8519,0.0987,0.028900000000000002,0.8724000000000001,0.10062
0.086,0.062,0.852,0.5267,0.09042857142857143,0.07257142857142858,0.837,0.04952857142857142
0.153,0.021,0.826,0.8906,0.16975,0.00875,0.8215,0.40222499999999994
0.111,0.027,0.862,0.9342,0.14700000000000002,0.026000000000000002,0.8270000000000002,0.32399000000000006
0.081,0.084,0.834,0.1779,0.047,0.0804,0.8722,-0.028500000000000004
